GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
vg-ms-students,pe.edu.vallegrande.msvstudents.domain.model,StudentEnrollment,358,0,70,0,9,0,56,0,21,0
vg-ms-students,pe.edu.vallegrande.msvstudents.domain.model,Student,798,164,190,0,0,24,99,47,4,47
vg-ms-students,pe.edu.vallegrande.msvstudents.infrastructure.dto.request,UpdateStudentRequest,841,0,166,0,21,0,128,0,45,0
vg-ms-students,pe.edu.vallegrande.msvstudents.infrastructure.dto.request,CreateStudentEnrollmentRequest,196,0,38,0,5,0,32,0,13,0
vg-ms-students,pe.edu.vallegrande.msvstudents.infrastructure.dto.request,StudentRequest,516,0,102,0,13,0,80,0,29,0
vg-ms-students,pe.edu.vallegrande.msvstudents.infrastructure.dto.request,CreateStudentRequest,619,181,158,0,0,20,82,40,3,40
vg-ms-students,pe.edu.vallegrande.msvstudents.infrastructure.rest,StudentEnrollmentController,155,0,0,0,32,0,26,0,26,0
vg-ms-students,pe.edu.vallegrande.msvstudents.infrastructure.rest,StudentController,179,0,0,0,39,0,30,0,30,0
vg-ms-students,pe.edu.vallegrande.msvstudents.infrastructure.repository.impl,StudentRepositoryImpl,126,0,0,0,25,0,13,0,13,0
vg-ms-students,pe.edu.vallegrande.msvstudents.infrastructure.repository.impl,StudentEnrollmentRepositoryImpl,161,0,0,0,31,0,14,0,14,0
vg-ms-students,pe.edu.vallegrande.msvstudents.application.service.impl,StudentEnrollmentServiceImpl,615,0,16,0,102,0,35,0,27,0
vg-ms-students,pe.edu.vallegrande.msvstudents.application.service.impl,StudentServiceImpl,232,272,9,3,51,63,20,16,15,15
vg-ms-students,pe.edu.vallegrande.msvstudents,MsvStudentsApplication,8,0,0,0,3,0,2,0,2,0
vg-ms-students,pe.edu.vallegrande.msvstudents.infrastructure.dto.response,ApiResponse,159,0,22,0,10,0,24,0,13,0
vg-ms-students,pe.edu.vallegrande.msvstudents.infrastructure.dto.response,StudentResponse.StudentResponseBuilder,56,168,0,0,0,1,1,25,1,25
vg-ms-students,pe.edu.vallegrande.msvstudents.infrastructure.dto.response,ApiResponse.Metadata,168,0,30,0,6,0,27,0,12,0
vg-ms-students,pe.edu.vallegrande.msvstudents.infrastructure.dto.response,StudentEnrollmentResponse,387,0,70,0,10,0,57,0,22,0
vg-ms-students,pe.edu.vallegrande.msvstudents.infrastructure.dto.response,StudentResponse,939,97,190,0,17,8,138,9,43,9
vg-ms-students,pe.edu.vallegrande.msvstudents.infrastructure.dto.response,StudentEnrollmentResponse.StudentEnrollmentResponseBuilder,85,0,0,0,1,0,11,0,11,0
vg-ms-students,pe.edu.vallegrande.msvstudents.domain.enums,Gender,3,25,0,0,1,6,1,2,1,2
vg-ms-students,pe.edu.vallegrande.msvstudents.domain.enums,GuardianRelationship,0,49,0,0,0,10,0,3,0,3
vg-ms-students,pe.edu.vallegrande.msvstudents.domain.enums,Status,3,46,0,0,1,9,1,2,1,2
vg-ms-students,pe.edu.vallegrande.msvstudents.domain.enums,EnrollmentStatus,56,0,0,0,11,0,3,0,3,0
vg-ms-students,pe.edu.vallegrande.msvstudents.domain.enums,DocumentType,3,32,0,0,1,7,1,2,1,2
vg-ms-students,pe.edu.vallegrande.msvstudents.infrastructure.config,MongoConfig,389,0,2,0,113,0,6,0,5,0
vg-ms-students,pe.edu.vallegrande.msvstudents.infrastructure.config,WebConfig,3,0,0,0,1,0,1,0,1,0
vg-ms-students,pe.edu.vallegrande.msvstudents.infrastructure.util,StudentEnrollmentMapper,71,0,2,0,22,0,4,0,3,0
vg-ms-students,pe.edu.vallegrande.msvstudents.infrastructure.util,StudentMapper,150,173,41,1,23,51,23,2,2,2
vg-ms-students,pe.edu.vallegrande.msvstudents.infrastructure.util,CsvUtils,78,0,22,0,15,0,13,0,2,0
vg-ms-students,pe.edu.vallegrande.msvstudents.infrastructure.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
vg-ms-students,pe.edu.vallegrande.msvstudents.infrastructure.exception,GlobalExceptionHandler,90,0,0,0,16,0,8,0,8,0
